"MUNICIPIO";"TOTAL";"PELOMENOS1";"VISUAL_NAOCONSEGUE";"VISUAL_GRANDEDIF";"VISUAL_ALGUMADIF";"AUDITIVA_NAOCONSEGUE";"AUDITIVA_GRANDEDIF";"AUDITIVA_ALGUMADIF";"MOTORA_NAOCONSEGUE";"MOTORA_GRANDEDIF";"MOTORA_ALGUMADIF";"MENTAL";"NENHUMA";"SD"
"Santo André - SP";676407;161568;2063;16520;107686;1849;6321;28858;3673;11625;26721;7900;514808;32
"Santos - SP";419400;96209;1046;10648;57674;718;4332;17148;1887;8677;21221;5219;322760;431
"São Bernardo do Campo - SP";765463;195008;2576;20096;135262;2289;6250;28744;2896;11801;30338;9548;570159;296
"São Paulo - SP";11253503;2759004;53068;292410;1928988;30202;90458;396003;45948;170445;458016;127549;8488580;5920
"São Vicente - SP";332445;75410;804;8639;47901;493;2875;12834;1256;5957;14586;4589;256981;54
"Taboão da Serra - SP";244528;52715;687;5851;36343;438;1667;7392;704;3012;8909;2368;191790;23
"Curitiba - PR";1751907;354964;6784;36641;224771;3621;13757;61806;6736;24423;64176;21880;1396500;443
"Blumenau - SC";309011;61170;751;6824;39475;510;2601;9589;911;4969;11514;3073;247727;113
"Florianópolis - SC";421240;78088;948;8250;45590;452;3521;14698;1327;6864;15219;4423;342919;233
"Caxias do Sul - RS";435564;104444;1047;11427;68246;708;5027;20634;1498;7507;17308;5346;331080;40
"Novo Hamburgo - RS";238940;51395;657;6046;32469;498;2275;8967;958;4323;10338;3040;187545;0
"Porto Alegre - RS";1409351;336420;6020;37055;206729;3116;14820;62817;6984;28403;68683;23581;1072801;130
"Cuiabá - MT";551098;128425;1460;15889;88249;1307;3579;16084;1978;8575;20966;5981;422622;51
"Brasília - DF";2570160;573805;6436;68047;388890;5658;16698;82469;8219;34302;88516;28035;1995240;1115
